game_id,season,week,date,kickoff_et,home_team,away_team,home_score,away_score,home_win,spread_close,total_close
2018_04_DET_DAL,2018,4,2018-09-30,13:00,DAL,DET,26,24,1,2.5,44
2018_04_BUF_GB,2018,4,2018-09-30,13:00,GB,BUF,22,0,1,8.5,44
2018_04_HOU_IND,2018,4,2018-09-30,13:00,IND,HOU,34,37,0,-1,48
2018_04_NYJ_JAX,2018,4,2018-09-30,13:00,JAX,NYJ,31,12,1,7.5,40.5
2018_04_MIA_NE,2018,4,2018-09-30,13:00,NE,MIA,38,7,1,6.5,50.5
2018_04_PHI_TEN,2018,4,2018-09-30,13:00,TEN,PHI,26,23,1,-3,41.5
2018_04_SEA_ARI,2018,4,2018-09-30,16:05,ARI,SEA,17,20,0,-3.5,40
2018_04_CLE_OAK,2018,4,2018-09-30,16:05,OAK,CLE,45,42,1,2.5,44.5
2018_04_SF_LAC,2018,4,2018-09-30,16:25,LAC,SF,29,27,1,10,46
2018_04_NO_NYG,2018,4,2018-09-30,16:25,NYG,NO,18,33,0,-3.5,51.5
2018_04_BAL_PIT,2018,4,2018-09-30,20:20,PIT,BAL,14,26,0,3,51
2018_04_KC_DEN,2018,4,2018-10-01,20:15,DEN,KC,23,27,0,-3.5,53.5
2018_05_IND_NE,2018,5,2018-10-04,20:20,NE,IND,38,24,1,10.5,49.5
2018_05_TEN_BUF,2018,5,2018-10-07,13:00,BUF,TEN,13,12,1,-6,38
2018_05_NYG_CAR,2018,5,2018-10-07,13:00,CAR,NYG,33,31,1,7,43.5
2018_05_MIA_CIN,2018,5,2018-10-07,13:00,CIN,MIA,27,17,1,6,47.5
2018_05_BAL_CLE,2018,5,2018-10-07,13:00,CLE,BAL,12,9,1,-3,44.5
2018_05_GB_DET,2018,5,2018-10-07,13:00,DET,GB,31,23,1,1,50
2018_05_JAX_KC,2018,5,2018-10-07,13:00,KC,JAX,30,14,1,3,48
2018_05_DEN_NYJ,2018,5,2018-10-07,13:00,NYJ,DEN,34,16,1,-1,42
