game_id,season,week,spread_close,total_close,home,season_f,rest_home,rest_home_capped,first_game_home,rest_away,rest_away_capped,first_game_away,prev_margin_home,prev_margin_away,elo_home,elo_away,elo_diff,wind_mph,temp_f,precip_mm
2018_04_CLE_OAK,2018,4,2.5,44.5,1,2018,7,7,0,10,10,0,-8,4,1473.471119145151,1488.709085975718,49.76203316943315,NA,NA,NA
2018_04_DET_DAL,2018,4,2.5,44,1,2018,7,7,0,7,7,0,-11,16,1491.2928390486586,1488.8145992076838,67.47823984097477,NA,NA,NA
2018_04_HOU_IND,2018,4,-1,48,1,2018,7,7,0,7,7,0,-4,-5,1492.4836887789556,1471.7495565646675,85.73413221428814,NA,NA,NA
2018_04_MIA_NE,2018,4,6.5,50.5,1,2018,7,7,0,7,7,0,-16,8,1491.3906188173005,1527.180992436545,29.20962638075548,NA,NA,NA
2018_04_NO_NYG,2018,4,-3.5,51.5,1,2018,7,7,0,7,7,0,5,6,1492.0517016711979,1508.2659272126475,48.78577445855035,NA,NA,NA
2018_04_NYJ_JAX,2018,4,7.5,40.5,1,2018,7,7,0,10,10,0,-3,-4,1507.5013473832319,1491.18830501179,81.31304237144195,NA,NA,NA
2018_04_PHI_TEN,2018,4,-3,41.5,1,2018,7,7,0,7,7,0,3,4,1512.396043604276,1508.2684932999691,69.12755030430685,NA,NA,NA
2018_04_SEA_ARI,2018,4,-3.5,40,1,2018,7,7,0,7,7,0,-2,11,1469.3431816582256,1492.3032011622224,42.03998049600318,NA,NA,NA
2018_04_SF_LAC,2018,4,10,46,1,2018,7,7,0,7,7,0,-12,-11,1492.4810218779444,1492.399057365938,65.08196451200638,NA,NA,NA
2018_04_TB_CHI,2018,4,3,46,1,2018,7,7,0,6,6,0,2,-3,1511.306391408207,1507.5013473832319,68.80504402497513,NA,NA,NA
2018_04_KC_DEN,2018,4,-3.5,53.5,1,2018,8,8,0,8,8,0,-13,11,1507.1628008088558,1531.196982844943,40.96581796391274,NA,NA,NA
2018_05_IND_NE,2018,5,10.5,49.5,1,2018,4,4,0,4,4,0,31,-3,1500.5518733738218,1480.064957592956,85.48691578086573,NA,NA,NA
2018_05_ARI_SF,2018,5,3,40.5,1,2018,7,7,0,7,7,0,-2,-3,1484.250660324253,1458.139044691681,91.11161563257201,NA,NA,NA
2018_05_ATL_PIT,2018,5,3.5,57,1,2018,7,7,0,7,7,0,-12,-1,1500.4439511209287,1477.2802072577708,88.16374386315783,NA,NA,NA
2018_05_BAL_CLE,2018,5,-3,44.5,1,2018,7,7,0,7,7,0,-3,12,1480.131638347679,1520.6437488944066,24.487889453272373,NA,NA,NA
2018_05_DAL_HOU,2018,5,3.5,45,1,2018,7,7,0,7,7,0,3,2,1484.168287750667,1499.3747163489945,49.79357140167258,NA,NA,NA
2018_05_DEN_NYJ,2018,5,-1,42,1,2018,7,7,0,6,6,0,-19,-4,1483.4868680431196,1495.9891436971536,52.497724345965935,NA,NA,NA
2018_05_GB_DET,2018,5,1,50,1,2018,7,7,0,7,7,0,-2,22,1480.732721907348,1496.5140952873908,49.21862661995715,NA,NA,NA
2018_05_JAX_KC,2018,5,3,48,1,2018,6,6,0,7,7,0,4,19,1542.3706399566452,1515.2027843519022,92.16785560474295,NA,NA,NA
2018_05_LA_SEA,2018,5,-7.5,50.5,1,2018,7,7,0,10,10,0,3,7,1503.507338128767,1534.575680205928,33.93165792283912,NA,NA,NA
2018_05_MIA_CIN,2018,5,6,47.5,1,2018,7,7,0,7,7,0,1,-31,1522.3873637361328,1518.0197378800237,69.36762585610904,NA,NA,NA
2018_05_MIN_PHI,2018,5,3.5,48,1,2018,7,7,0,10,10,0,-3,-7,1500.2322984818663,1499.460258049518,65.77204043234838,NA,NA,NA
2018_05_NYG_CAR,2018,5,7,43.5,1,2018,14,14,0,7,7,0,10,-15,1508.2652435575835,1480.6566905934933,92.60855296409022,NA,NA,NA
2018_05_OAK_LAC,2018,5,5.5,52,1,2018,7,7,0,7,7,0,2,3,1500.6294189196294,1482.04856677319,83.58085214643938,NA,NA,NA
2018_05_TEN_BUF,2018,5,-6,38,1,2018,7,7,0,7,7,0,-22,3,1484.5546654876334,1520.4322384223788,29.12242706525467,NA,NA,NA
2018_05_WAS_NO,2018,5,5.5,51.5,1,2018,8,8,0,15,14,0,15,14,1519.660938290352,1507.4164837353471,77.24445455500495,NA,NA,NA
2018_06_PHI_NYG,2018,6,-1.5,45.5,1,2018,4,4,0,4,4,0,-2,-2,1473.2607967394258,1488.361521573517,49.899275165908875,NA,NA,NA
2018_06_ARI_MIN,2018,6,10,43.5,1,2018,7,7,0,7,7,0,2,10,1511.3310349578674,1470.702942427718,105.62809253014939,NA,NA,NA
2018_06_BAL_TEN,2018,6,-2.5,43.5,1,2018,7,7,0,7,7,0,-1,-3,1511.268491671674,1511.347402219082,64.92108945259201,NA,NA,NA
2018_06_BUF_HOU,2018,6,10.5,40.5,1,2018,7,7,0,7,7,0,3,1,1492.744846016495,1493.7184122383383,64.02643377815684,NA,NA,NA
2018_06_CAR_WAS,2018,6,-1,44.5,1,2018,6,6,0,7,7,0,-24,2,1499.6038361645767,1515.661137411651,48.94269875292571,NA,NA,NA
2018_06_CHI_MIA,2018,6,-7.5,40.5,1,2018,7,7,0,14,14,0,-10,38,1509.9901856057497,1519.3515123461966,55.638673259553116,NA,NA,NA
2018_06_IND_NYJ,2018,6,2.5,47.5,1,2018,7,7,0,10,10,0,18,-14,1491.9872574723317,1472.4769884390064,84.51026903332536,NA,NA,NA
2018_06_JAX_DAL,2018,6,-3,39.5,1,2018,7,7,0,7,7,0,-3,-16,1490.7981580831665,1507.795062476071,48.003095607095474,NA,NA,NA
2018_06_KC_NE,2018,6,4,59.5,1,2018,10,10,0,7,7,0,14,16,1508.1398425277714,1549.7783618324763,23.361480695295086,NA,NA,NA
2018_06_LAC_CLE,2018,6,1,47,1,2018,7,7,0,7,7,0,3,16,1489.4279850230037,1508.269125188098,46.15885983490557,NA,NA,NA
2018_06_LA_DEN,2018,6,-7,50,1,2018,7,7,0,7,7,0,-18,2,1487.4887542679414,1545.5492185605383,6.939535707403138,NA,NA,NA
2018_06_PIT_CIN,2018,6,1,49.5,1,2018,7,7,0,7,7,0,10,24,1530.4169160104068,1507.9594934106876,87.45742259971917,NA,NA,NA
2018_06_SEA_OAK,2018,6,-3,47.5,1,2018,7,7,0,7,7,0,-16,-2,1474.4088605047214,1492.5337997741567,46.875060730564655,NA,NA,NA
2018_06_TB_ATL,2018,6,3,57.5,1,2018,7,7,0,14,14,0,-24,-38,1469.7646649680119,1499.4562264452422,35.30843852276962,NA,NA,NA
2018_06_SF_GB,2018,6,9,46.5,1,2018,8,8,0,8,8,0,-8,-10,1487.9213202735953,1471.686762588216,81.23455768537929,NA,NA,NA
2018_07_DEN_ARI,2018,7,-1,42.5,1,2018,4,4,0,4,4,0,-10,-3,1463.6528329015173,1477.289044931465,51.36378797005227,NA,NA,NA
2018_07_BUF_IND,2018,7,7,43.5,1,2018,7,7,0,7,7,0,-8,-7,1464.8625266577023,1485.54065973627,44.321866921432274,NA,NA,NA
2018_07_CAR_PHI,2018,7,5,45,1,2018,10,10,0,7,7,0,21,-6,1499.7879439327414,1507.0605769578663,57.72736697487517,NA,NA,NA
2018_07_CIN_KC,2018,7,6.5,56,1,2018,7,7,0,7,7,0,-3,-7,1540.4497477826153,1517.9515426249006,87.49820515771466,NA,NA,NA
2018_07_CLE_TB,2018,7,3.5,52.5,1,2018,7,7,0,7,7,0,-5,-24,1490.469000814039,1478.1071881019195,77.36181271211944,NA,NA,NA
2018_07_DAL_WAS,2018,7,-1.5,40.5,1,2018,7,7,0,7,7,0,6,33,1508.2043966183614,1499.4252428260706,73.7791537922908,NA,NA,NA
2018_07_DET_MIA,2018,7,-3,47,1,2018,7,7,0,14,14,0,3,8,1518.4023263303768,1489.3254969211434,94.07682940923337,NA,NA,NA
2018_07_HOU_JAX,2018,7,4,43,1,2018,7,7,0,7,7,0,-33,7,1499.167977733167,1500.9225985185633,63.245379214603645,NA,NA,NA
2018_07_LA_SF,2018,7,-8,52,1,2018,6,6,0,7,7,0,-3,3,1463.9831858879124,1555.7489278970147,-26.76574200910227,NA,NA,NA
2018_07_MIN_NYJ,2018,7,-3.5,45,1,2018,7,7,0,7,7,0,8,10,1499.6017192536358,1518.381144484068,46.22057476956775,NA,NA,NA
2018_07_NE_CHI,2018,7,-1,49,1,2018,7,7,0,7,7,0,-3,3,1510.9393716215695,1517.4684565776324,58.47091504393711,NA,NA,NA
2018_07_NO_BAL,2018,7,2.5,49,1,2018,7,7,0,13,13,0,21,24,1523.1945331865777,1527.4735858611225,60.7209473254552,NA,NA,NA
2018_07_TEN_LAC,2018,7,6.5,46,1,2018,7,7,0,7,7,0,24,-21,1519.5899221091822,1499.4213607041781,85.16856140500408,NA,NA,NA
2018_07_NYG_ATL,2018,7,4.5,52,1,2018,8,8,0,11,11,0,5,-21,1478.7518905992151,1461.8343743802013,81.9175162190138,NA,NA,NA
2018_08_MIA_HOU,2018,8,7.5,45,1,2018,4,4,0,4,4,0,13,-11,1512.7231030748912,1505.7588691646588,71.96423391023245,NA,NA,NA
2018_08_BAL_CAR,2018,8,-2.5,44,1,2018,7,7,0,7,7,0,4,-1,1518.7069813404,1511.4644230025874,72.24255833781262,NA,NA,NA
2018_08_CLE_PIT,2018,8,8.5,47.5,1,2018,14,14,0,7,7,0,7,-3,1520.4248667961938,1470.297756519621,115.1271102765727,NA,NA,NA
2018_08_DEN_KC,2018,8,8.5,53,1,2018,7,7,0,10,10,0,35,35,1547.9832719579747,1488.7567366392907,124.226535318684,NA,NA,NA
2018_08_GB_LA,2018,8,7.5,57,1,2018,7,7,0,13,13,0,29,3,1564.9800683365033,1495.6248969738988,134.35517136260455,NA,NA,NA
2018_08_IND_OAK,2018,8,-3.5,51,1,2018,14,14,0,7,7,0,-24,32,1463.0678148173283,1473.5937160925293,54.47409872479898,NA,NA,NA
2018_08_NO_MIN,2018,8,-2.5,53.5,1,2018,7,7,0,7,7,0,20,1,1529.7036866751855,1539.2036960451128,55.499990630072716,NA,NA,NA
2018_08_NYJ_CHI,2018,8,8.5,42.5,1,2018,7,7,0,7,7,0,-7,-20,1499.272153677235,1488.2791770625183,75.99297661471678,NA,NA,NA
2018_08_PHI_JAX,2018,8,-4,44.5,1,2018,7,7,0,7,7,0,-13,-4,1487.367473176839,1488.1415395502077,64.22593362663133,NA,NA,NA
2018_08_SEA_DET,2018,8,3,47.5,1,2018,7,7,0,14,14,0,11,24,1501.9689540868615,1503.8748454615497,63.09410862531172,NA,NA,NA
2018_08_SF_ARI,2018,8,-2.5,40,1,2018,10,10,0,7,7,0,-35,-29,1452.1851411936916,1454.7520454484238,62.43309574526779,NA,NA,NA
2018_08_TB_CIN,2018,8,3.5,55,1,2018,7,7,0,7,7,0,-35,3,1510.4180184495413,1498.2784323963374,77.13958605320386,NA,NA,NA
2018_08_WAS_NYG,2018,8,-1,43,1,2018,6,6,0,7,7,0,-3,3,1454.1494097506015,1516.1122159975434,3.037193753058091,NA,NA,NA
2018_08_NE_BUF,2018,8,-13.5,44,1,2018,8,8,0,8,8,0,-32,7,1476.809470301443,1529.1356745219668,12.673795779476222,NA,NA,NA
2018_09_OAK_SF,2018,9,-1.5,44,1,2018,4,4,0,4,4,0,-3,-14,1446.5299190391538,1451.5126468512494,60.01727218790438,NA,NA,NA
2018_09_ATL_WAS,2018,9,1.5,46.5,1,2018,7,7,0,13,13,0,7,3,1526.199631234106,1486.436855228815,104.76277600529102,NA,NA,NA
2018_09_CHI_BUF,2018,9,-10.5,38,1,2018,6,6,0,7,7,0,-19,14,1466.4448508490007,1507.119125172444,24.325725676556658,NA,NA,NA
2018_09_DET_MIN,2018,9,4.5,47,1,2018,7,7,0,7,7,0,-10,-14,1518.1197186129073,1490.1726626320674,92.94705598083988,NA,NA,NA
2018_09_GB_NE,2018,9,5,56,1,2018,6,6,0,7,7,0,19,-2,1539.5002939744093,1489.31006095693,115.19023301747916,NA,NA,NA
2018_09_HOU_DEN,2018,9,1,46.5,1,2018,7,7,0,10,10,0,-7,19,1482.1873024031422,1520.6809276892598,26.50637471388245,NA,NA,NA
2018_09_KC_CLE,2018,9,-7.5,51,1,2018,7,7,0,7,7,0,-15,7,1463.4952012792905,1554.5527061941232,-26.057504914832634,NA,NA,NA
2018_09_LAC_SEA,2018,9,1,48.5,1,2018,7,7,0,14,14,0,14,1,1515.6711369163438,1527.1865230518702,53.48461386447366,NA,NA,NA
2018_09_LA_NO,2018,9,-2.5,57.5,1,2018,7,7,0,7,7,0,10,2,1550.787664107391,1571.294904353472,44.49275975391902,NA,NA,NA
2018_09_NYJ_MIA,2018,9,3,43.5,1,2018,10,10,0,7,7,0,-19,-14,1497.8010445502903,1480.4322055673094,82.36883898298083,NA,NA,NA
2018_09_PIT_BAL,2018,9,1.5,47,1,2018,7,7,0,7,7,0,-15,15,1503.5142738621712,1527.2274220365243,41.28685182564686,NA,NA,NA
2018_09_TB_CAR,2018,9,6,55.5,1,2018,7,7,0,7,7,0,15,-3,1526.6571304808162,1490.462910691451,101.1942197893652,NA,NA,NA
2018_09_TEN_DAL,2018,9,4.5,40,1,2018,15,14,0,15,14,0,-3,-1,1491.5174234468886,1491.8247597614902,64.69266368539843,NA,NA,NA
2018_10_CAR_PIT,2018,10,3.5,51,1,2018,4,4,0,4,4,0,7,14,1538.410190975125,1533.8241859702266,69.58600500489842,NA,NA,NA
2018_10_ARI_KC,2018,10,16.5,49.5,1,2018,7,7,0,14,14,0,16,3,1563.804113981077,1460.4072676029616,168.39684637811547,NA,NA,NA
2018_10_ATL_CLE,2018,10,-5.5,49.5,1,2018,7,7,0,7,7,0,-16,24,1454.2437934923366,1499.3639904872227,19.8798030051139,NA,NA,NA
2018_10_BUF_NYJ,2018,10,6.5,38,1,2018,7,7,0,7,7,0,-7,-32,1472.759531157491,1455.7458420153662,82.0136891421248,NA,NA,NA
2018_10_DAL_PHI,2018,10,7.5,45.5,1,2018,14,14,0,6,6,0,6,-14,1499.9693378636593,1479.676643552786,85.29269431087346,NA,NA,NA
2018_10_DET_CHI,2018,10,7.5,44.5,1,2018,7,7,0,7,7,0,32,-15,1517.8181340060785,1482.7858486694388,100.03228533663969,NA,NA,NA
2018_10_JAX_IND,2018,10,3,48,1,2018,14,14,0,14,14,0,14,-6,1485.1488840586082,1475.5396748633873,74.60920919522096,NA,NA,NA
2018_10_LAC_OAK,2018,10,-10.5,50,1,2018,10,10,0,7,7,0,-31,8,1443.2231030178805,1538.713887909489,-30.490784891608428,NA,NA,NA
2018_10_MIA_GB,2018,10,13,48.5,1,2018,7,7,0,7,7,0,-14,7,1482.5091366951413,1505.4737189601087,42.035417735032524,NA,NA,NA
2018_10_NE_TEN,2018,10,-6,47,1,2018,6,6,0,7,7,0,14,14,1503.665539655593,1546.301218236198,22.364321419394855,NA,NA,NA
2018_10_NO_CIN,2018,10,-5.5,53,1,2018,14,14,0,7,7,0,3,10,1518.2335401544276,1559.514014338547,23.719525815880615,NA,NA,NA
2018_10_SEA_LA,2018,10,10,51,1,2018,7,7,0,7,7,0,-10,-8,1562.568554122316,1504.143772058725,123.42478206359101,NA,NA,NA
2018_10_WAS_TB,2018,10,3.5,51,1,2018,7,7,0,7,7,0,-14,-24,1483.2958552020407,1513.2724959756981,35.02335922634256,NA,NA,NA
2018_10_NYG_SF,2018,10,3,45,1,2018,11,11,0,15,14,0,31,-7,1454.8194628725228,1444.061994514039,75.75746835848372,NA,NA,NA
2018_11_GB_SEA,2018,11,3,49,1,2018,4,4,0,4,4,0,-5,19,1497.5539612148998,1491.305129151451,71.24883206344884,NA,NA,NA
