game_id,season,week,p_model_oof
2023_07_GB_DEN,2023,7,0.42247629165649414
2023_07_LAC_KC,2023,7,0.5390437245368958
2023_07_MIA_PHI,2023,7,0.4634067118167877
2023_07_SF_MIN,2023,7,0.2313232421875
2023_08_TB_BUF,2023,8,0.8344718813896179
2023_08_HOU_CAR,2023,8,0.3865256905555725
2023_08_LA_DAL,2023,8,0.6934789419174194
2023_08_MIN_GB,2023,8,0.48805883526802063
2023_08_NO_IND,2023,8,0.46417325735092163
2023_08_NE_MIA,2023,8,0.7329527735710144
2023_08_NYJ_NYG,2023,8,0.5061088800430298
2023_08_JAX_PIT,2023,8,0.5229437351226807
2023_08_ATL_TEN,2023,8,0.4795112907886505
2023_08_PHI_WAS,2023,8,0.23868116736412048
2023_08_CLE_SEA,2023,8,0.628211259841919
2023_08_BAL_ARI,2023,8,0.20913231372833252
